tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
1069.00;E2D2_0;85.60;13.63;1008.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.168 emissions_flow_0.168;61.00;flow_0.168;0;675.81;0.98;0.00;9.67;car;;0;0.00;178487.27;1880.65;12.91;71.73;3.03;0.00;56945.73
1077.00;E2D2_0;85.60;11.82;1014.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.169 emissions_flow_0.169;63.00;flow_0.169;0;675.81;0.94;0.00;10.30;car;;0;0.00;170181.40;1870.96;12.60;67.72;2.83;0.00;54295.77
1080.00;E2D2_0;85.60;13.74;1020.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.170 emissions_flow_0.170;60.00;flow_0.170;0;675.81;1.09;0.00;10.08;car;;0;0.00;171207.90;1833.16;12.34;68.24;2.89;0.00;54623.50
1091.00;E2D2_0;85.60;11.17;1026.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.171 emissions_flow_0.171;65.00;flow_0.171;0;675.81;0.90;0.00;9.46;car;;0;0.00;163250.56;1840.69;12.30;64.98;2.73;0.00;52084.37
1099.00;E2D2_0;85.60;11.33;1032.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.172 emissions_flow_0.172;67.00;flow_0.172;0;675.81;0.89;0.00;11.18;car;;0;0.00;161328.38;1788.41;11.99;63.54;2.62;0.00;51471.33
1100.00;E2D2_0;85.60;12.97;1038.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.173 emissions_flow_0.173;62.00;flow_0.173;0;675.81;1.14;0.00;12.41;car;;0;0.00;162583.12;1808.40;12.13;65.31;2.81;0.00;51871.45
1107.00;E2D2_0;85.60;12.17;1044.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.174 emissions_flow_0.174;63.00;flow_0.174;0;675.81;0.96;0.00;10.58;car;;0;0.00;167783.86;1739.40;11.75;65.40;2.63;0.00;53531.51
1114.00;E2D2_0;85.60;12.67;1050.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.175 emissions_flow_0.175;64.00;flow_0.175;0;675.81;0.92;0.00;9.74;car;;0;0.00;167516.60;1803.81;12.28;66.46;2.74;0.00;53445.65
1116.00;E2D2_0;85.60;13.87;1056.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.176 emissions_flow_0.176;60.00;flow_0.176;0;675.81;1.09;0.00;10.30;car;;0;0.00;171588.58;1858.95;12.51;68.53;2.90;0.00;54744.84
1121.00;E2D2_0;85.60;13.33;1062.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.177 emissions_flow_0.177;59.00;flow_0.177;0;675.81;1.03;0.00;9.40;car;;0;0.00;170886.47;1731.71;11.91;67.67;2.78;0.00;54521.19
1127.00;E2D2_0;85.60;13.16;1068.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.178 emissions_flow_0.178;59.00;flow_0.178;0;675.81;1.08;0.00;9.68;car;;0;0.00;172882.00;1834.49;12.49;69.12;2.92;0.00;55157.50
1135.00;E2D2_0;85.60;13.34;1074.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.179 emissions_flow_0.179;61.00;flow_0.179;0;675.81;1.06;0.00;10.44;car;;0;0.00;166398.70;1790.78;12.16;66.66;2.83;0.00;53088.95
1140.00;E2D2_0;85.60;13.69;1080.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.180 emissions_flow_0.180;60.00;flow_0.180;0;675.81;1.10;0.00;10.13;car;;0;0.00;166990.20;1790.43;12.15;66.92;2.85;0.00;53277.68
1145.00;E2D2_0;85.60;12.75;1086.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.181 emissions_flow_0.181;59.00;flow_0.181;0;675.81;1.03;0.00;9.70;car;;0;0.00;161355.45;1729.70;11.64;63.67;2.69;0.00;51480.30
1153.00;E2D2_0;85.60;13.47;1092.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.182 emissions_flow_0.182;61.00;flow_0.182;0;675.81;1.03;0.00;10.51;car;;0;0.00;174465.54;1953.29;13.05;70.04;3.02;0.00;55662.50
1159.00;E2D2_0;85.60;12.89;1098.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.183 emissions_flow_0.183;61.00;flow_0.183;0;675.81;1.08;0.00;10.33;car;;0;0.00;164914.56;1745.90;11.90;65.93;2.78;0.00;52615.52
1167.00;E2D2_0;85.60;12.65;1104.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.184 emissions_flow_0.184;63.00;flow_0.184;0;675.81;0.94;0.00;9.94;car;;0;0.00;164649.54;1798.41;12.10;65.34;2.73;0.00;52530.93
1173.00;E2D2_0;85.60;11.94;1110.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.185 emissions_flow_0.185;63.00;flow_0.185;0;675.81;0.92;0.00;9.03;car;;0;0.00;164336.92;1757.47;11.97;65.20;2.69;0.00;52431.22
1175.00;E2D2_0;85.60;13.55;1116.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.186 emissions_flow_0.186;59.00;flow_0.186;0;675.81;1.08;0.00;9.68;car;;0;0.00;173295.91;1843.14;12.51;69.21;2.93;0.00;55289.63
1188.00;E2D2_0;85.60;12.01;1122.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.187 emissions_flow_0.187;66.00;flow_0.187;0;675.81;0.89;0.00;9.50;car;;0;0.00;167959.27;1979.98;13.10;67.38;2.89;0.00;53586.37
1190.00;E2D2_0;85.60;12.45;1128.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.188 emissions_flow_0.188;62.00;flow_0.188;0;675.81;0.97;0.00;10.95;car;;0;0.00;168916.08;1901.81;12.70;67.57;2.89;0.00;53891.98
1197.00;E2D2_0;85.60;13.30;1134.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.189 emissions_flow_0.189;63.00;flow_0.189;0;675.81;0.97;0.00;11.51;car;;0;0.00;166386.02;1908.81;12.70;67.05;2.90;0.00;53084.54
1206.00;E2D2_0;85.60;11.70;1140.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.190 emissions_flow_0.190;66.00;flow_0.190;0;675.81;0.90;0.00;9.93;car;;0;0.00;164249.57;1865.55;12.45;65.72;2.79;0.00;52402.99
