tripinfo_id,tripinfo_vType,day,sim,CO2_abs,departDelay,waitingTime,waitingCount,timeLoss
flow_0.326,car,1,1,175081.093207,0.4,0.0,0,11.69
flow_0.327,car,1,1,170068.259046,0.8,0.0,0,10.18
flow_0.328,car,1,1,171416.429223,0.2,0.0,0,11.92
flow_0.329,car,1,1,163082.084079,0.6,0.0,0,9.47
flow_0.330,car,1,1,171124.638636,0.0,0.0,0,10.86
flow_0.331,car,1,1,164390.541495,0.4,0.0,0,10.14
flow_0.332,car,1,1,332233.826523,0.8,58.0,1,75.67
flow_0.333,car,1,1,325627.937745,0.2,56.0,1,72.15
flow_0.334,car,1,1,316560.364525,0.6,54.0,1,70.64
flow_0.335,car,1,1,313106.109315,0.0,53.0,1,68.64
flow_0.336,car,1,1,293395.337719,0.4,45.0,1,61.23
flow_0.337,car,1,1,301942.084761,0.8,45.0,1,62.67
flow_0.338,car,1,1,293266.176322,0.2,45.0,1,58.88
flow_0.339,car,1,1,284007.793158,0.6,39.0,1,56.21
flow_0.340,car,1,1,275523.622017,0.0,36.0,1,53.02
flow_0.341,car,1,1,280631.106178,0.4,36.0,1,52.4
flow_0.342,car,1,1,242167.019696,0.8,29.0,1,44.27
flow_0.343,car,1,1,272052.289237,0.2,32.0,1,47.76
flow_0.344,car,1,1,245858.679991,0.6,27.0,1,42.45
flow_0.345,car,1,1,254790.190383,0.0,24.0,1,42.13
flow_0.346,car,1,1,219094.811814,0.4,18.0,1,34.16
flow_0.347,car,1,1,238255.88986,0.8,21.0,1,35.41
flow_0.348,car,1,1,240865.22989,0.2,19.0,1,34.11
flow_0.349,car,1,1,231830.310463,0.6,15.0,1,30.73
flow_0.350,car,1,1,223102.253697,0.0,12.0,1,29.01
flow_0.351,car,1,1,211600.00978,0.4,8.0,1,25.24
flow_0.352,car,1,1,206452.694948,0.8,7.0,1,22.62
flow_0.353,car,1,1,205930.282687,0.2,7.0,1,22.11
flow_0.354,car,1,1,175242.56189,0.6,0.0,0,12.82
flow_0.355,car,1,1,197934.916931,0.0,2.0,1,16.9
flow_0.356,car,1,1,173169.871586,0.4,0.0,0,11.39
flow_0.357,car,1,1,165472.877542,0.8,0.0,0,10.99
flow_0.358,car,1,1,165531.279428,0.2,0.0,0,12.52
flow_0.359,car,1,1,178381.978724,0.6,0.0,0,11.98
flow_0.360,car,1,1,169257.060034,0.0,0.0,0,9.61
flow_0.361,car,1,1,169588.032166,0.4,0.0,0,10.83
flow_0.362,car,1,1,173369.429851,0.8,0.0,0,11.46
flow_0.363,car,1,1,167792.596302,0.2,0.0,0,10.65
flow_0.364,car,1,1,172901.835844,0.6,0.0,0,11.65
flow_0.365,car,1,1,162030.297624,0.0,0.0,0,11.21
flow_0.366,car,1,1,322305.816885,0.4,60.0,1,75.95
flow_0.367,car,1,1,324079.289446,0.8,57.0,1,74.3
flow_0.368,car,1,1,314387.908946,0.2,55.0,1,70.36
flow_0.369,car,1,1,297500.586094,0.6,51.0,1,66.81
flow_0.370,car,1,1,284747.953735,0.0,45.0,1,62.23
flow_0.371,car,1,1,309521.372163,0.4,48.0,1,64.42
flow_0.372,car,1,1,297526.505892,0.8,45.0,1,60.11
flow_0.373,car,1,1,282961.296382,0.2,42.0,1,56.88
flow_0.374,car,1,1,264816.164279,0.6,36.0,1,51.97
flow_0.375,car,1,1,262760.720497,0.0,33.0,1,49.51
flow_0.376,car,1,1,274720.382911,0.4,34.0,1,50.23
flow_0.377,car,1,1,251265.694768,0.8,29.0,1,44.37
flow_0.378,car,1,1,265498.601585,0.2,30.0,1,46.11
flow_0.379,car,1,1,260258.187954,0.6,29.0,1,43.35
flow_0.380,car,1,1,258632.60792,0.0,25.0,1,41.74
flow_0.381,car,1,1,238480.762292,0.4,21.0,1,37.85
flow_0.382,car,1,1,222070.578342,0.8,17.0,1,31.73
flow_0.383,car,1,1,233499.14178,0.2,17.0,1,33.24
flow_0.384,car,1,1,214209.004703,0.6,12.0,1,28.62
flow_0.385,car,1,1,221030.052683,0.0,12.0,1,27.4
flow_0.386,car,1,1,219448.938724,0.4,11.0,1,25.61
flow_0.387,car,1,1,205362.721428,0.8,6.0,1,21.07
flow_0.388,car,1,1,208782.650506,0.2,5.0,1,21.28
flow_0.389,car,1,1,206068.844925,0.6,2.0,1,17.53
flow_0.390,car,1,1,195041.739041,0.0,0.0,0,14.0
flow_0.391,car,1,1,166557.809204,0.4,0.0,0,10.9
flow_0.392,car,1,1,169013.707966,0.8,0.0,0,10.75
flow_0.393,car,1,1,164391.220948,0.2,0.0,0,11.3
flow_0.394,car,1,1,167068.791178,0.6,0.0,0,11.28
flow_0.395,car,1,1,171367.997757,0.0,0.0,0,10.22
flow_0.396,car,1,1,174850.326006,0.4,0.0,0,10.39
flow_0.397,car,1,1,168680.49485,0.8,0.0,0,10.08
flow_0.398,car,1,1,163934.630094,0.2,0.0,0,10.91
flow_0.399,car,1,1,178705.309085,0.6,0.0,0,10.52
flow_0.400,car,1,1,167956.106166,0.0,0.0,0,10.89
flow_0.401,car,1,1,318899.359534,0.4,58.0,1,72.67
flow_0.402,car,1,1,323996.143876,0.8,56.0,1,73.61
flow_0.403,car,1,1,320179.212877,0.2,57.0,1,71.56
flow_0.404,car,1,1,315231.998623,0.6,53.0,1,68.59
flow_0.405,car,1,1,308678.48509,0.0,51.0,1,65.97
flow_0.406,car,1,1,293286.941547,0.4,46.0,1,61.81
flow_0.407,car,1,1,268049.778222,0.8,39.0,1,54.1
flow_0.408,car,1,1,292304.774333,0.2,41.0,1,58.58
flow_0.409,car,1,1,280320.54441,0.6,39.0,1,54.27
flow_0.410,car,1,1,279675.574078,0.0,38.0,1,54.08
flow_0.411,car,1,1,277730.686332,0.4,34.0,1,50.27
flow_0.412,car,1,1,254625.627049,0.8,29.0,1,44.73
flow_0.413,car,1,1,263884.048904,0.2,28.0,1,45.24
flow_0.414,car,1,1,244237.432147,0.6,25.0,1,40.18
flow_0.415,car,1,1,250459.161817,0.0,24.0,1,40.07
